"wall_clock","relative time","geom","total"
"2020-06-30 18:41:23.864038","0.000000000000000000000000000000","0","235378"
"2020-06-30 18:41:31.482136","7.618098000000000000000000000000","0","263058"
"2020-06-30 18:41:31.585247","7.721209000000000000000000000000","0","263058"
"2020-06-30 18:41:31.689442","7.825404000000000000000000000000","0","263058"
"2020-06-30 18:41:31.796035","7.931997000000000000000000000000","0","263058"
"2020-06-30 18:41:31.902603","8.038565000000000000000000000000","0","263058"
"2020-06-30 18:41:32.008214","8.144176000000000000000000000000","0","263058"
"2020-06-30 18:41:32.112523","8.248485000000000000000000000000","0","263058"
"2020-06-30 18:41:32.219910","8.355872000000000000000000000000","0","263058"
"2020-06-30 18:41:32.325283","8.461245000000000000000000000000","0","263058"
"2020-06-30 18:41:32.433355","8.569317000000000000000000000000","0","263058"
"2020-06-30 18:41:32.538661","8.674623000000000000000000000000","0","263058"
"2020-06-30 18:41:32.643349","8.779311000000000000000000000000","0","263058"
"2020-06-30 18:41:32.747751","8.883713000000000000000000000000","0","263058"
"2020-06-30 18:41:32.852793","8.988755000000000000000000000000","0","263058"
"2020-06-30 18:41:32.957910","9.093872000000000000000000000000","0","263058"
"2020-06-30 18:41:33.065214","9.201176000000000000000000000000","0","263058"
"2020-06-30 18:41:33.170404","9.306366000000000000000000000000","0","263058"
"2020-06-30 18:41:33.275871","9.411833000000000000000000000000","0","263058"
"2020-06-30 18:41:33.381377","9.517339000000000000000000000000","0","263058"
"2020-06-30 18:41:33.487931","9.623893000000000000000000000000","265","263371"
"2020-06-30 18:41:33.594805","9.730767000000000000000000000000","265","263371"
"2020-06-30 18:41:33.701149","9.837111000000000000000000000000","265","263371"
"2020-06-30 18:41:33.806907","9.942869000000000000000000000000","265","263371"
"2020-06-30 18:41:33.913516","10.049478000000000000000000000000","265","263371"
"2020-06-30 18:41:34.018674","10.154636000000000000000000000000","265","263371"
"2020-06-30 18:41:34.123804","10.259766000000000000000000000000","265","263371"
"2020-06-30 18:41:34.228662","10.364624000000000000000000000000","265","263371"
"2020-06-30 18:41:34.333910","10.469872000000000000000000000000","265","263371"
"2020-06-30 18:41:34.440199","10.576161000000000000000000000000","265","263371"
"2020-06-30 18:41:34.546128","10.682090000000000000000000000000","265","263371"
"2020-06-30 18:41:34.652895","10.788857000000000000000000000000","265","263371"
"2020-06-30 18:41:34.759042","10.895004000000000000000000000000","265","263371"
"2020-06-30 18:41:34.869772","11.005734000000000000000000000000","265","263371"
"2020-06-30 18:41:34.974472","11.110434000000000000000000000000","265","263371"
"2020-06-30 18:41:35.081359","11.217321000000000000000000000000","265","263371"
"2020-06-30 18:41:35.185198","11.321160000000000000000000000000","265","263371"
"2020-06-30 18:41:35.289179","11.425141000000000000000000000000","265","263371"
"2020-06-30 18:41:35.393758","11.529720000000000000000000000000","265","263371"
"2020-06-30 18:41:35.498465","11.634427000000000000000000000000","387","263493"
"2020-06-30 18:41:35.604861","11.740823000000000000000000000000","387","263493"
"2020-06-30 18:41:35.711762","11.847724000000000000000000000000","387","263493"
"2020-06-30 18:41:35.817992","11.953954000000000000000000000000","387","263493"
"2020-06-30 18:41:35.921689","12.057651000000000000000000000000","387","263493"
"2020-06-30 18:41:36.026169","12.162131000000000000000000000000","387","263493"
"2020-06-30 18:41:36.130748","12.266710000000000000000000000000","387","263493"
"2020-06-30 18:41:36.237710","12.373672000000000000000000000000","387","263493"
"2020-06-30 18:41:36.344612","12.480574000000000000000000000000","387","263493"
"2020-06-30 18:41:36.450785","12.586747000000000000000000000000","387","263493"
"2020-06-30 18:41:36.557264","12.693226000000000000000000000000","387","263493"
"2020-06-30 18:41:36.663906","12.799868000000000000000000000000","387","263493"
"2020-06-30 18:41:36.770172","12.906134000000000000000000000000","387","263493"
"2020-06-30 18:41:36.877628","13.013590000000000000000000000000","387","263493"
"2020-06-30 18:41:36.982683","13.118645000000000000000000000000","387","263493"
"2020-06-30 18:41:37.087405","13.223367000000000000000000000000","387","263493"
"2020-06-30 18:41:37.192441","13.328403000000000000000000000000","387","263493"
"2020-06-30 18:41:37.297347","13.433309000000000000000000000000","387","263493"
"2020-06-30 18:41:37.401993","13.537955000000000000000000000000","387","263493"
"2020-06-30 18:41:37.507944","13.643906000000000000000000000000","3267","266373"
"2020-06-30 18:41:37.613820","13.749782000000000000000000000000","3267","266373"
"2020-06-30 18:41:37.719302","13.855264000000000000000000000000","3267","266373"
"2020-06-30 18:41:37.827556","13.963518000000000000000000000000","3267","266373"
"2020-06-30 18:41:37.935187","14.071149000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.041824","14.177786000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.150009","14.285971000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.258822","14.394784000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.366161","14.502123000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.471965","14.607927000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.578721","14.714683000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.685040","14.821002000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.792499","14.928461000000000000000000000000","3267","266373"
"2020-06-30 18:41:38.898506","15.034468000000000000000000000000","3267","266373"
"2020-06-30 18:41:39.004901","15.140863000000000000000000000000","3267","266373"
"2020-06-30 18:41:39.111360","15.247322000000000000000000000000","3267","266373"
"2020-06-30 18:41:39.215517","15.351479000000000000000000000000","3267","266373"
"2020-06-30 18:41:39.321237","15.457199000000000000000000000000","3267","266373"
